Doctor Name,Doctor Profile URL,Doctor Image,Experience (Years),Specialties,Rating (Max 5),Consultation Fee (BDT)
Dr. Afsana Hoque,https://doctime.com.bd/doctors/dr-afsana-hoque-15793584,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/15896585/profile_photos/MKlm7Y0oru3LV8WvvYL8ic3ChTSl8xgKsaDbTakr.jpg,5,"General Physician,Dermatology",5,260
Dr. Kazi Sanjida Afrin,https://doctime.com.bd/doctors/dr-kazi-sanjida-afrin-5312513,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/5373655/profile_photos/MZsrPLnWpSaJgRldfEMfg8nO8TZKwQbQdCUrsAwn.png,5,"General Physician,Gynae & Obs",5,260
Dr. Salahuddin Farhan,https://doctime.com.bd/doctors/dr-salahuddin-farhan-130485,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/163201/profile_photos/zsPlNCQRRsw5w8dMZWdAL3HJxDlMXnQokjUyQos5.jpg,5,"General Physician,Cardiologist",5,400
Dr. Shubhendu Paul,https://doctime.com.bd/doctors/dr-shubhendu-paul-1883,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/1841/profile_photos/dnirZL3vkbJ1AcWK2eSTfA4HLPTrcItiyLbELqTB.jpg,9,General Physician,4.8,365
Dr. Tanjin Amin,https://doctime.com.bd/doctors/dr-tanjin-amin-94474,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/115767/profile_photos/NbnuhKpTNQcqaaJoVQaRE1L3nbsIiNpKHMM2WIcN.jpg,14,General Physician,4.9,313
Dr. Sharmin Akhter,https://doctime.com.bd/doctors/dr-sharmin-akhter-118586,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/148366/profile_photos/zUM6AaTU58Eu5M6JcT2V2ouu64C3KJnrFV72ARzA.png,6,"General Physician,Gynae & Obs",4.8,365
Dr. Ashir Inteshar,https://doctime.com.bd/doctors/dr-ashir-inteshar-12562285,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/12640763/profile_photos/YDziARWL7Cf8Z9dC8z6MWgrOh6NRyEU5mFpv1y3n.png,6,General Physician,5,250
Dr. Meherdad Yousuf Ahmed,https://doctime.com.bd/doctors/dr-meherdad-yousuf-ahmed-13968808,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/14056809/profile_photos/iYdotIE11URIIPmmrubxyg97RDdWoM9RSqYFh1bo.png,14,"Child Specialist,General Physician",5,450
Asst. Prof. Dr. Md Monirul Islam,https://doctime.com.bd/doctors/asst-prof-dr-md-monirul-islam-8660823,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/8715118/profile_photos/t0IC2LgsRb5yC1bXCmqQDnklrATlXgkrgIHMpa6l.png,30,General Physician,4.9,550
Dr. Kamran Uddin Ahmed,https://doctime.com.bd/doctors/dr-kamran-uddin-ahmed-1229159,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/1349601/profile_photos/yAiM1uOsvdOUTBVx8QCAJNyCa49ngFrdwenzaqis.jpg,9,"Internal Medicine,General Physician",5,250
